Minimum Height [mm],min Resistance [Ohm],Maximum height [mm],maximum Resistance [Ohm]
7.1,278,13.1,288
12.7,278,14.7,288
32.65,250,35.15,260
50.1,227.5,53.1,236.5
66.75,205,70.25,213
83.6,182.5,87.6,189.5
99.65,159.5,104.15,166.5
116.7,137,121.7,143
129.95,114,135.45,120
144.3,89,150.3,94
148.2,89,154.2,94
